Date,Time in bed(hr),Time in bed(hr) MOVING AVERAGE
2021-01-30,6.179,6.865148796609626
2021-01-31,1.052,6.282787407534223
2021-02-01,8.012,6.455988786977338
2021-02-03,2.518,6.0616158675991185
2021-02-04,7.547,6.210349124456005
2021-02-05,6.681,6.257469768119025
2021-02-06,6.954,6.32719677979752
2021-02-07,9.005,6.595233077809363
2021-02-08,3.981,6.333584882238504
2021-02-10,6.636,6.363849805567462
2021-02-11,6.744,6.40189130945281
2021-02-12,6.664,6.428118611977914
2021-02-13,4.402,6.225392429254101
2021-02-14,4.472,6.049964151427806
2021-02-15,4.649,5.909803714374202
2021-02-16,7.357,6.054582861400418
2021-02-17,7.167,6.165865748647239
2021-02-18,3.101,5.859277082934154
2021-02-19,5.723,5.845645289319338
2021-02-20,6.949,5.956010528276857
2021-02-21,4.92,5.852384320244681
2021-02-22,7.654,6.032585257529981
2021-02-23,8.013,6.230665679746161
2021-02-24,8.004,6.40803049902069
2021-02-26,7.176,6.484839682356787
2021-02-27,0.511,5.887370072158138
2021-02-28,7.708,6.069456555374688
2021-03-02,6.715,6.134018395874095
2021-03-03,7.912,6.311835137367351
2021-03-04,6.862,6.366856798203711
2021-03-06,5.29,6.25916200293456
2021-03-07,3.828,6.016027281282791
2021-03-08,7.69,6.1834360306336205
2021-03-10,4.267,5.991780601730386
2021-03-11,3.045,5.697086176207319
2021-03-12,3.869,5.5142684213628685
2021-03-13,4.133,5.376135365730689
2021-03-14,5.258,5.3643213508818075
2021-03-15,6.757,5.503594290257408
2021-03-16,8.171,5.770343608435424
2021-03-17,8.176,6.010916347534643
2021-03-19,7.342,6.144028248419475
2021-03-20,7.155,6.245127840389458
2021-03-22,4.375,6.05811103273381
2021-03-24,7.952,6.247503596717847
2021-03-26,6.936,6.316354436905097
2021-03-27,6.479,6.332619248315799
2021-03-28,8.047,6.504059743506771
2021-03-30,7.575,6.611155129721021
2021-04-01,7.144,6.664440226000654
2021-04-02,8.011,6.799097589082776
2021-04-03,1.182,6.237382627914786
2021-04-04,7.43,6.3566453592078
2021-04-05,5.978,6.318780539235608
2021-04-06,3.293,6.016200442427025
2021-04-07,7.745,6.189081448677794
2021-04-08,7.731,6.343274147052335
2021-04-10,6.566,6.3655468419706525
2021-04-11,8.025,6.531492892863606
2021-04-12,8.332,6.711544321392505
2021-04-14,8.155,6.855890407174391
2021-04-16,4.487,6.619000601481489
2021-04-17,7.557,6.712800813946906
2021-04-18,7.296,6.7711208850994
2021-04-19,7.942,6.888209072229143
2021-04-20,6.677,6.867088120257092
2021-04-21,7.844,6.964779494512957
2021-04-24,7.601,7.028401654247069
2021-04-25,7.682,7.0937615897732895
2021-04-27,7.256,7.109985453348502
2021-04-28,6.883,7.087286879616008
2021-04-30,8.005,7.179058294986127
2021-05-02,8.28,7.289152577053934
2021-05-03,7.126,7.2728373044684504
2021-05-05,4.138,6.959353316704227
2021-05-06,1.852,6.448617607728868
2021-05-07,8.01,6.604755950768168
2021-05-08,7.272,6.671480395618312
2021-05-09,7.663,6.770632409454523
2021-05-10,7.351,6.8286691966390665
2021-05-12,8.014,6.947202328682068
2021-05-14,4.932,6.7456820166968
2021-05-15,2.944,6.365513680698123
2021-05-16,7.039,6.4328623340456375
2021-05-18,7.077,6.497276119076691
2021-05-20,7.899,6.637448543275402
2021-05-21,6.279,6.601603680638057
2021-05-22,7.772,6.7186433369939005
2021-05-24,1.25,6.171778900604413
2021-05-26,4.688,6.023400985467833
2021-05-27,7.651,6.186160911677103
2021-05-29,1.056,5.6731447502818515
2021-05-30,1.848,5.290630228126986
2021-05-31,5.686,5.330167209698231
2021-06-01,5.654,5.362550491960062
2021-06-02,8.455,5.671795470538738
2021-06-04,7.82,5.886615940849458
2021-06-05,7.012,5.999154354951653
2021-06-06,6.854,6.084638925053571
2021-06-07,3.27,5.803175015962308
2021-06-08,6.722,5.895057519239026
2021-06-09,6.524,5.957951770317136
2021-06-10,1.041,5.466256572163181
2021-06-11,7.455,5.6651309226357816
2021-06-12,7.881,5.886717838082537
2021-06-13,7.824,6.080446060341149
2021-06-14,7.925,6.264901459505862
2021-06-16,6.918,6.330211315211942
2021-06-17,6.789,6.376090184738146
2021-06-18,4.717,6.210181162855452
2021-06-19,7.867,6.375863049633698
2021-06-21,8.297,6.5679767478676405
2021-06-22,8.373,6.748479075784536
2021-06-24,4.203,6.4939311647746045
2021-06-25,5.216,6.366138046746681
2021-06-26,7.607,6.490224243426953
2021-06-28,0.57,5.898201813266209
2021-06-29,3.387,5.647081629718513
2021-07-01,0.641,5.146473462761719
2021-07-04,8.292,5.46102611873906
2021-07-08,7.55,5.669923508212075
2021-07-12,5.045,5.607431157028225
2021-07-13,5.601,5.606788041322044
2021-07-14,8.375,5.883609238491016
2021-07-16,3.853,5.68054831378289
2021-07-17,6.671,5.7795934827817
2021-07-19,7.588,5.9604341351232
2021-07-20,7.122,6.076590721969101
2021-07-21,7.058,6.174731650044587
2021-07-23,3.459,5.9031584843617395
2021-07-24,5.431,5.855942635819415
2021-07-25,5.081,5.778448372080674
2021-07-26,8.039,6.004503535284262
2021-07-28,8.582,6.262253182178271
2021-07-30,6.683,6.304327864022506
2021-08-01,6.864,6.360295077694554
2021-08-02,6.358,6.360065569924824
2021-08-03,1.12,5.836059012368875
2021-08-04,2.484,5.500853110807584
2021-08-05,4.08,5.358767799603069
2021-08-06,2.715,5.094391019435518
2021-08-07,4.205,5.005451917429219
2021-08-08,6.499,5.154806725781131
2021-08-09,1.114,4.750726052972102
2021-08-10,2.244,4.500053447545967
2021-08-11,2.079,4.257948102679304
2021-08-12,5.515,4.383653292463742
2021-08-13,1.194,4.064687963097777
2021-08-14,0.942,3.752419166682626
2021-08-15,4.87,3.8641772500483036
2021-08-17,4.946,3.9723595250730424
2021-08-18,6.911,4.266223572638027
2021-08-19,7.773,4.616901215451862
2021-08-21,7.059,4.861111093955336
2021-08-23,3.514,4.726399984535645
2021-08-24,7.158,4.969559986121325
2021-08-26,2.628,4.73540398747518
2021-08-27,4.424,4.704263588723591
2021-08-28,2.231,4.456937229822132
2021-08-29,2.468,4.258043506818858
2021-08-30,0.574,3.8896391561018615
2021-08-31,6.801,4.180775240516647
2021-09-01,6.473,4.409997716482677
2021-09-02,7.002,4.669197944852418
2021-09-03,6.272,4.829478150377199
2021-09-04,0.716,4.41813033531633
2021-09-05,7.01,4.6773173017978245
2021-09-07,7.266,4.936185571629842
2021-09-08,7.013,5.1438670144753775
2021-09-09,6.232,5.252680313031858
2021-09-10,2.276,4.95501228171878
2021-09-11,5.515,5.011011053548577
2021-09-12,5.229,5.032809948194306
2021-09-13,7.009,5.230428953379662
2021-09-14,6.182,5.325586058043771
2021-09-15,2.29,5.022027452233438
2021-09-16,2.085,4.728324707004908
2021-09-17,7.042,4.959692236308094
2021-09-18,6.067,5.0704230126788685
2021-09-19,6.616,5.224980711412972
2021-09-20,7.328,5.435282640274111
2021-09-21,7.006,5.592354376248338
2021-09-22,7.116,5.744718938624934
2021-09-23,7.189,5.889147044763661
2021-09-24,7.231,6.023332340288315
2021-09-25,7.0,6.120999106260151
2021-09-26,6.516,6.160499195634379
2021-09-27,0.881,5.632549276068016
2021-09-28,7.158,5.785094348461975
2021-09-29,5.982,5.804784913615865
2021-09-30,6.105,5.8348064222544
2021-10-01,5.973,5.8486257800290105
2021-10-02,0.666,5.330363202024413
2021-10-03,6.176,5.414926881822222
2021-10-04,7.168,5.590234193640464
2021-10-05,6.812,5.712410774276709
2021-10-06,7.045,5.845669696849324
2021-10-07,6.463,5.907402727164511
2021-10-08,6.041,5.9207624544480835
2021-10-09,0.714,5.400086209002461
2021-10-10,4.017,5.26177758810202
2021-10-11,7.038,5.439399829292043
2021-10-12,7.005,5.595959846363018
2021-10-13,7.173,5.753663861726878
2021-10-14,7.018,5.880097475554306
2021-10-15,6.688,5.960887727998943
2021-10-16,6.559,6.0206989551990935
2021-10-17,0.587,5.4773290596788184
2021-10-18,7.195,5.6490961537110405
2021-10-19,7.198,5.803986538340021
2021-10-20,7.163,5.939887884506085
2021-10-21,7.32,6.077899096055537
2021-10-22,7.161,6.186209186450027
2021-10-23,4.302,5.997788267804957
2021-10-24,6.374,6.035409441024473
2021-10-25,6.805,6.112368496922048
2021-10-26,7.039,6.205031647229868
2021-10-27,6.528,6.237328482506888
2021-10-28,5.694,6.182995634256188
2021-10-29,6.957,6.260396070830584
2021-10-30,6.687,6.303056463747533
2021-10-31,1.189,5.791650817372701
2021-11-01,6.731,5.885585735635444
2021-11-02,4.929,5.789927162071888
2021-11-03,4.742,5.685134445864687
2021-11-04,3.623,5.478921001278198
2021-11-05,6.609,5.591928901150388
2021-11-06,5.801,5.612836011035351
2021-11-07,8.12,5.863552409931834
2021-11-08,6.506,5.927797168938654
2021-11-09,7.314,6.066417452044797
2021-11-10,6.612,6.12097570684032
2021-11-11,7.195,6.2283781361562935
2021-11-12,2.709,5.876440322540649
2021-11-13,1.248,5.4135962902865655
2021-11-14,6.973,5.5695366612579145
2021-11-15,6.811,5.693682995132127
2021-11-16,5.982,5.722514695618915
2021-11-17,7.02,5.852263226057027
2021-11-18,2.661,5.533136903451317
2021-11-19,7.006,5.680423213106189
2021-11-20,4.853,5.5976808917955685
2021-11-21,6.994,5.737312802616014
