Date,Distance walking / running(mi),Flights climbed(count),Step count(count)
2021-04-09,0.763,5.000,1897.000
2021-04-10,2.875,7.000,6522.000
2021-04-11,1.763,6.000,4082.000
2021-04-12,2.703,6.000,6323.000
2021-04-13,3.142,10.000,6907.000
2021-04-14,1.569,2.000,3594.000
2021-04-15,3.118,8.000,7061.000
2021-04-16,2.075,7.000,4568.000
2021-04-17,2.845,5.000,6488.000
2021-04-18,4.834,7.000,11059.000
2021-04-19,1.995,10.000,4616.000
2021-04-20,2.678,8.000,6305.000
2021-04-21,3.260,12.000,7554.000
2021-04-22,3.537,7.000,7889.000
2021-04-23,1.976,10.000,4801.000
2021-04-24,2.746,12.000,6307.000
2021-04-25,1.965,8.000,4454.000
2021-04-26,1.694,5.000,3838.000
2021-04-27,2.640,7.000,5979.000
2021-04-28,3.099,9.000,6820.000
2021-04-29,4.288,17.000,9464.000
2021-04-30,2.120,7.000,4759.000
2021-05-01,1.942,5.000,4512.000
2021-05-02,2.407,5.000,5598.000
2021-05-03,3.589,9.000,7874.000
2021-05-04,1.919,4.000,4413.000
2021-05-05,4.023,7.000,9303.000
2021-05-06,6.265,13.000,14046.000
2021-05-07,3.565,11.000,7859.000
2021-05-08,1.422,13.000,3195.000
2021-05-09,2.572,14.000,6377.000
2021-05-10,0.876,6.000,2017.000
2021-05-11,1.373,5.000,3007.000
2021-05-12,0.705,9.000,1551.000
2021-05-13,0.593,7.000,1359.000
2021-05-14,0.735,10.000,1788.000
2021-05-15,1.989,7.000,4705.000
2021-05-16,0.815,8.000,1854.000
2021-05-17,0.945,10.000,2132.000
2021-05-18,0.420,7.000,960.000
2021-05-19,0.530,7.000,1190.000
2021-05-20,0.728,8.000,1656.000
2021-05-21,1.275,7.000,3162.315
2021-05-22,3.434,20.000,8551.685
2021-05-23,0.555,9.000,1204.000
2021-05-24,0.211,3.000,491.000
2021-05-25,1.291,4.000,3241.000
2021-05-26,1.366,10.000,3149.000
2021-05-27,1.058,2.000,2666.000
2021-05-28,1.238,8.000,2833.000
2021-05-29,1.155,8.000,2549.000
2021-05-30,0.239,3.000,541.000
2021-05-31,0.501,9.000,1144.000
2021-06-01,1.046,5.000,2509.000
2021-06-02,0.444,6.000,1061.000
2021-06-03,1.195,5.000,2921.000
2021-06-04,1.577,7.000,3751.000
2021-06-05,0.690,10.000,1647.000
2021-06-06,0.290,6.000,656.000
2021-06-07,0.377,4.000,829.232
2021-06-08,0.808,5.000,1952.768
2021-06-09,0.360,8.000,814.000
2021-06-10,1.046,2.000,2557.000
2021-06-11,1.585,5.000,3873.000
2021-06-12,2.072,21.000,4877.000
2021-06-13,0.673,6.000,1564.000
2021-06-14,0.344,6.000,798.000
2021-06-15,1.198,2.000,2917.000
2021-06-16,1.085,7.000,2516.000
2021-06-17,1.133,4.000,2860.000
2021-06-18,1.177,3.000,2769.000
2021-06-19,1.261,13.000,3013.000
2021-06-20,0.619,3.000,1599.000
2021-06-21,0.866,9.000,1759.000
2021-06-22,1.392,9.000,3358.000
2021-06-23,0.578,6.000,1299.000
2021-06-24,1.075,3.000,2625.000
2021-06-25,1.440,7.000,3446.000
2021-06-26,0.349,3.000,775.000
2021-06-27,1.737,6.000,4147.000
2021-06-28,0.652,5.000,1487.000
2021-06-29,1.461,9.000,3510.000
2021-06-30,0.337,4.000,773.000
2021-07-01,0.686,3.000,1503.000
2021-07-02,0.716,3.000,1674.000
2021-07-03,0.279,4.000,651.000
2021-07-04,0.477,1.000,1135.000
2021-07-05,1.535,2.000,3607.000
2021-07-06,1.060,2.000,2565.000
2021-07-07,0.350,4.000,834.000
2021-07-08,0.820,5.000,2037.000
2021-07-09,1.164,3.000,2725.000
2021-07-10,1.288,11.000,3095.000
2021-07-11,0.352,4.000,803.000
2021-07-12,0.670,5.000,1517.000
2021-07-13,1.226,8.000,2991.000
2021-07-14,0.618,4.000,1525.000
2021-07-15,1.035,2.000,2560.000
2021-07-16,0.833,5.000,1992.000
2021-07-17,0.933,2.000,2400.000
2021-07-18,2.790,15.000,6556.000
2021-07-19,1.347,10.000,3070.000
2021-07-20,1.442,4.000,3470.000
2021-07-21,1.152,7.000,2773.000
2021-07-22,1.541,5.000,3507.000
2021-07-23,1.531,3.000,3649.000
2021-07-24,0.950,7.000,2232.000
2021-07-25,0.786,5.000,1850.000
2021-07-26,1.129,8.000,2591.000
2021-07-27,1.142,3.000,2736.000
2021-07-28,0.417,8.000,925.000
2021-07-29,1.575,10.000,3857.000
2021-07-30,1.515,7.000,3622.000
2021-07-31,1.372,8.000,3452.000
2021-08-01,2.366,20.000,6019.000
2021-08-02,2.240,5.000,5174.000
2021-08-03,0.259,5.000,591.000
2021-08-04,0.410,5.000,959.000
2021-08-05,0.941,6.000,2274.000
2021-08-06,1.229,3.000,3046.000
2021-08-07,1.943,4.000,4910.000
2021-08-08,0.750,8.000,1788.000
2021-08-09,0.706,8.000,1673.000
2021-08-10,1.531,8.000,3742.000
2021-08-11,0.750,5.000,1803.000
2021-08-12,1.340,6.000,3264.000
2021-08-13,1.794,4.000,3985.000
2021-08-14,0.269,6.000,605.000
2021-08-15,1.606,10.000,4090.000
2021-08-16,6.044,16.000,14525.000
2021-08-17,8.932,50.000,20770.000
2021-08-18,0.530,6.000,1230.000
2021-08-19,0.841,12.000,1890.000
2021-08-20,1.291,7.000,3215.000
2021-08-21,0.410,4.000,937.000
2021-08-22,0.837,15.000,1875.000
2021-08-23,0.701,10.000,1634.000
2021-08-24,1.608,7.000,3672.000
2021-08-25,0.857,10.000,1944.000
2021-08-26,0.351,3.000,802.000
2021-08-27,0.916,7.000,2179.000
2021-08-28,1.588,13.000,4089.000
2021-08-29,6.369,12.000,12781.000
2021-08-30,4.571,6.000,10528.000
2021-08-31,2.401,5.000,5501.000
2021-09-01,3.932,9.000,8827.000
2021-09-02,3.253,7.000,7297.000
2021-09-03,2.891,6.000,6559.000
2021-09-04,1.945,7.000,4601.000
2021-09-05,1.569,5.000,3575.000
2021-09-06,2.256,3.000,5481.000
2021-09-07,2.054,5.000,4338.000
2021-09-08,3.551,10.000,7687.000
2021-09-09,4.423,10.000,9342.000
2021-09-10,5.795,10.000,12250.000
2021-09-11,1.478,6.000,3337.000
2021-09-12,1.480,9.000,3444.000
2021-09-13,2.049,7.000,4891.000
2021-09-14,2.735,5.000,6820.000
2021-09-15,2.178,9.000,4894.000
2021-09-16,2.826,8.000,6219.000
2021-09-17,1.890,6.000,4325.000
2021-09-18,3.456,6.000,7933.000
2021-09-19,1.801,6.000,4326.000
2021-09-20,1.912,5.000,4451.000
2021-09-21,2.691,8.000,5952.000
2021-09-22,2.376,8.000,5478.000
2021-09-23,2.130,4.000,4822.000
2021-09-24,2.701,6.000,6574.000
2021-09-25,1.803,3.000,3819.000
2021-09-26,6.034,6.000,13171.000
2021-09-27,2.055,6.000,4718.000
2021-09-28,3.663,6.000,8040.000
2021-09-29,2.305,9.000,5681.358
2021-09-30,4.794,10.000,11752.642
2021-10-01,2.999,7.000,7142.000
2021-10-02,1.240,9.000,2915.000
2021-10-03,1.456,8.000,3606.000
2021-10-04,2.392,7.000,5234.000
2021-10-05,1.953,7.000,4521.000
2021-10-06,2.718,8.000,6050.934
2021-10-07,4.612,13.000,10274.066
2021-10-08,3.141,12.000,7251.000
2021-10-09,6.458,13.000,14995.000
2021-10-10,1.400,8.000,3280.000
2021-10-11,2.449,7.000,5468.000
2021-10-12,3.033,8.000,7043.000
2021-10-13,3.446,11.000,7981.000
2021-10-14,3.702,8.000,8308.000
2021-10-15,2.685,7.000,6185.000
2021-10-16,2.914,8.000,6819.000
2021-10-17,0.908,4.000,2274.000
2021-10-18,3.022,13.000,6931.000
2021-10-19,2.813,8.000,6833.000
2021-10-20,2.767,10.000,6744.000
2021-10-21,3.832,9.000,8206.000
2021-10-22,2.484,4.000,6105.000
2021-10-23,0.794,5.000,1932.000
2021-10-24,0.759,6.000,1713.000
2021-10-25,1.255,2.000,2760.000
2021-10-26,2.425,5.000,5191.000
2021-10-27,3.193,9.000,7148.000
2021-10-28,4.195,10.000,9239.000
2021-10-29,2.629,8.000,5920.236
2021-10-30,0.499,3.000,1151.764
2021-10-31,2.997,9.000,7007.000
2021-11-01,1.866,5.000,4356.000
2021-11-02,2.174,5.000,4889.000
2021-11-03,2.934,10.000,6615.797
2021-11-04,4.321,10.000,9475.203
2021-11-05,4.223,6.000,9954.000
2021-11-06,2.008,8.000,4895.000
2021-11-07,0.896,4.000,2082.000
2021-11-08,2.575,9.000,5970.000
2021-11-09,3.507,6.000,7634.099
2021-11-10,2.277,8.000,5075.901
2021-11-11,3.700,8.000,8605.000
2021-11-12,2.517,6.000,5599.000
2021-11-13,2.684,4.000,6616.000
2021-11-14,1.273,6.000,2879.000
2021-11-15,4.515,20.000,10023.000
2021-11-16,1.703,3.000,3940.000
2021-11-17,2.624,7.000,6022.000
2021-11-18,4.532,7.000,10571.000
2021-11-19,3.492,10.000,8361.000
2021-11-20,0.507,4.000,1257.000
2021-11-21,0.004,0.000,9.000
