Date,Time in bed(hr)
2021-07-20 06:54:43 - 2021-07-20 07:16:46,0.368
2021-07-20 07:20:15 - 2021-07-20 07:20:18,0.001
2021-07-20 23:46:35 - 2021-07-21 06:53:54,7.122
2021-07-21 06:56:30 - 2021-07-21 06:56:35,0.001
2021-07-21 23:30:00 - 2021-07-22 06:33:27,7.058
2021-07-23 05:57:42 - 2021-07-23 09:25:15,3.459
2021-07-24 01:11:07 - 2021-07-24 06:36:57,5.431
2021-07-25 02:46:52 - 2021-07-25 02:46:59,0.002
2021-07-25 03:53:48 - 2021-07-25 03:54:01,0.004
2021-07-25 03:55:13 - 2021-07-25 09:00:02,5.081
2021-07-26 02:14:33 - 2021-07-26 08:51:54,6.623
2021-07-26 23:30:00 - 2021-07-27 07:32:21,8.039
2021-07-28 00:45:13 - 2021-07-28 04:09:59,3.413
2021-07-28 04:23:47 - 2021-07-28 06:30:42,2.116
2021-07-28 23:30:00 - 2021-07-29 08:04:56,8.582
2021-07-30 01:06:03 - 2021-07-30 05:17:35,4.192
2021-07-30 05:21:44 - 2021-07-30 06:40:53,1.319
2021-07-30 23:51:42 - 2021-07-31 06:32:40,6.683
2021-08-01 00:02:20 - 2021-08-01 06:54:12,6.864
2021-08-01 07:09:08 - 2021-08-01 07:09:09,0.000
2021-08-02 00:02:17 - 2021-08-02 06:23:45,6.358
2021-08-02 06:25:26 - 2021-08-02 06:44:44,0.322
2021-08-03 03:43:40 - 2021-08-03 05:14:40,1.517
2021-08-03 05:26:52 - 2021-08-03 06:34:05,1.120
2021-08-04 05:40:39 - 2021-08-04 06:32:08,0.858
2021-08-04 23:59:46 - 2021-08-05 02:28:48,2.484
2021-08-05 02:30:36 - 2021-08-05 06:35:22,4.080
2021-08-06 03:33:32 - 2021-08-06 06:16:25,2.715
2021-08-06 06:32:16 - 2021-08-06 06:33:35,0.022
2021-08-06 06:33:38 - 2021-08-06 06:33:40,0.001
2021-08-07 02:24:50 - 2021-08-07 06:37:08,4.205
2021-08-08 00:01:48 - 2021-08-08 06:31:45,6.499
2021-08-09 05:24:45 - 2021-08-09 06:31:35,1.114
2021-08-10 02:36:10 - 2021-08-10 05:13:34,2.623
2021-08-10 05:13:50 - 2021-08-10 07:28:27,2.244
2021-08-11 04:26:50 - 2021-08-11 06:31:36,2.079
2021-08-12 23:43:29 - 2021-08-13 05:14:24,5.515
2021-08-13 05:19:51 - 2021-08-13 06:31:30,1.194
2021-08-14 02:04:27 - 2021-08-14 05:38:44,3.571
2021-08-14 05:38:47 - 2021-08-14 06:35:18,0.942
2021-08-15 03:35:16 - 2021-08-15 07:52:21,4.285
2021-08-15 23:30:00 - 2021-08-16 04:22:11,4.870
2021-08-16 04:24:17 - 2021-08-16 04:40:22,0.268
2021-08-17 01:43:04 - 2021-08-17 06:39:51,4.946
2021-08-18 00:40:56 - 2021-08-18 08:09:44,7.480
2021-08-18 23:30:00 - 2021-08-19 06:24:39,6.911
2021-08-19 06:25:48 - 2021-08-19 06:25:51,0.001
2021-08-19 06:27:04 - 2021-08-19 06:27:05,0.000
2021-08-19 23:30:00 - 2021-08-20 07:16:21,7.773
2021-08-21 05:34:06 - 2021-08-21 06:57:59,1.398
2021-08-21 23:30:00 - 2021-08-22 06:33:30,7.059
2021-08-23 03:27:37 - 2021-08-23 06:58:27,3.514
2021-08-24 00:50:12 - 2021-08-24 05:28:59,4.646
2021-08-24 06:18:22 - 2021-08-24 06:18:36,0.004
2021-08-24 06:19:27 - 2021-08-24 06:19:28,0.000
2021-08-24 06:19:44 - 2021-08-24 06:19:53,0.002
2021-08-24 23:30:00 - 2021-08-25 06:39:29,7.158
2021-08-26 04:23:32 - 2021-08-26 07:01:14,2.628
2021-08-27 01:51:47 - 2021-08-27 06:32:03,4.671
2021-08-27 23:50:32 - 2021-08-28 04:15:59,4.424
2021-08-28 04:15:59 - 2021-08-28 04:16:01,0.001
2021-08-28 04:16:03 - 2021-08-28 04:16:05,0.001
2021-08-28 04:17:30 - 2021-08-28 06:31:22,2.231
2021-08-29 04:03:43 - 2021-08-29 06:31:49,2.468
2021-08-30 07:30:37 - 2021-08-30 08:05:04,0.574
2021-08-31 07:58:48 - 2021-08-31 08:00:19,0.025
2021-08-31 23:30:00 - 2021-09-01 06:18:03,6.801
2021-09-01 06:19:35 - 2021-09-01 06:30:19,0.179
2021-09-01 23:30:00 - 2021-09-02 05:58:23,6.473
2021-09-02 05:58:35 - 2021-09-02 06:01:50,0.054
2021-09-02 06:03:31 - 2021-09-02 06:04:03,0.009
2021-09-02 23:30:00 - 2021-09-03 06:30:08,7.002
2021-09-03 23:30:00 - 2021-09-04 05:46:21,6.272
2021-09-04 05:47:02 - 2021-09-04 06:30:00,0.716
2021-09-05 00:47:22 - 2021-09-05 06:32:36,5.754
2021-09-05 23:30:00 - 2021-09-06 06:30:34,7.010
2021-09-07 00:00:00 - 2021-09-07 07:15:56,7.266
2021-09-08 00:00:00 - 2021-09-08 07:00:46,7.013
2021-09-09 00:00:00 - 2021-09-09 06:13:56,6.232
2021-09-09 06:14:14 - 2021-09-09 06:14:19,0.001
2021-09-09 06:14:23 - 2021-09-09 06:14:30,0.002
2021-09-09 06:16:59 - 2021-09-09 06:17:01,0.001
2021-09-09 06:17:55 - 2021-09-09 06:18:26,0.009
2021-09-09 06:23:40 - 2021-09-09 06:26:43,0.051
2021-09-09 06:26:56 - 2021-09-09 06:28:17,0.023
2021-09-10 04:56:30 - 2021-09-10 07:13:02,2.276
2021-09-11 01:29:32 - 2021-09-11 07:00:24,5.515
2021-09-12 01:47:01 - 2021-09-12 07:00:46,5.229
2021-09-13 00:00:00 - 2021-09-13 07:00:32,7.009
2021-09-14 00:32:19 - 2021-09-14 06:43:14,6.182
2021-09-15 04:43:15 - 2021-09-15 07:00:38,2.290
2021-09-16 04:50:14 - 2021-09-16 06:55:21,2.085
2021-09-16 06:59:06 - 2021-09-16 07:00:01,0.015
2021-09-17 00:00:00 - 2021-09-17 07:02:31,7.042
2021-09-17 07:18:11 - 2021-09-17 07:18:54,0.012
2021-09-18 00:00:00 - 2021-09-18 06:04:01,6.067
2021-09-18 06:05:31 - 2021-09-18 06:22:21,0.281
2021-09-18 06:25:23 - 2021-09-18 06:34:01,0.144
2021-09-19 00:23:26 - 2021-09-19 07:00:24,6.616
2021-09-20 00:00:00 - 2021-09-20 07:19:42,7.328
2021-09-20 07:23:07 - 2021-09-20 07:23:26,0.005
2021-09-21 00:00:00 - 2021-09-21 07:00:22,7.006
2021-09-22 00:00:00 - 2021-09-22 07:06:58,7.116
2021-09-22 07:07:06 - 2021-09-22 07:12:45,0.094
2021-09-23 00:00:00 - 2021-09-23 07:11:20,7.189
2021-09-24 00:00:00 - 2021-09-24 07:13:50,7.231
2021-09-25 00:00:00 - 2021-09-25 07:00:00,7.000
2021-09-26 00:00:00 - 2021-09-26 06:30:57,6.516
2021-09-27 00:03:07 - 2021-09-27 05:32:36,5.491
2021-09-27 05:32:37 - 2021-09-27 05:32:45,0.002
2021-09-27 05:33:46 - 2021-09-27 05:33:59,0.004
2021-09-27 05:34:02 - 2021-09-27 06:00:34,0.442
2021-09-27 06:14:19 - 2021-09-27 06:20:14,0.099
2021-09-27 06:47:09 - 2021-09-27 07:39:59,0.881
2021-09-27 07:40:11 - 2021-09-27 07:41:30,0.022
2021-09-28 00:00:00 - 2021-09-28 07:09:29,7.158
2021-09-29 01:13:07 - 2021-09-29 07:12:03,5.982
2021-09-29 07:22:23 - 2021-09-29 07:23:24,0.017
2021-09-30 00:56:13 - 2021-09-30 07:02:30,6.105
2021-09-30 07:02:50 - 2021-09-30 07:02:55,0.001
2021-09-30 07:05:15 - 2021-09-30 07:08:45,0.058
2021-09-30 07:10:20 - 2021-09-30 07:10:26,0.002
2021-09-30 07:12:58 - 2021-09-30 07:13:22,0.007
2021-10-01 01:02:13 - 2021-10-01 07:00:35,5.973
2021-10-02 00:58:36 - 2021-10-02 08:05:53,7.121
2021-10-02 08:06:35 - 2021-10-02 08:46:34,0.666
2021-10-03 00:49:28 - 2021-10-03 07:00:01,6.176
2021-10-04 00:00:00 - 2021-10-04 07:10:06,7.168
2021-10-04 07:10:48 - 2021-10-04 07:10:51,0.001
2021-10-04 07:12:25 - 2021-10-04 07:12:32,0.002
2021-10-05 00:11:50 - 2021-10-05 07:00:32,6.812
2021-10-05 07:02:05 - 2021-10-05 07:02:08,0.001
2021-10-06 00:00:00 - 2021-10-06 07:02:41,7.045
2021-10-06 07:09:20 - 2021-10-06 07:09:53,0.009
2021-10-07 00:33:14 - 2021-10-07 07:01:01,6.463
2021-10-08 01:45:14 - 2021-10-08 07:47:40,6.041
2021-10-09 01:21:37 - 2021-10-09 06:20:29,4.981
2021-10-09 06:21:02 - 2021-10-09 07:03:54,0.714
2021-10-09 07:04:27 - 2021-10-09 07:22:32,0.302
2021-10-10 03:01:06 - 2021-10-10 07:02:08,4.017
2021-10-10 07:02:42 - 2021-10-10 07:29:11,0.441
2021-10-11 00:00:00 - 2021-10-11 07:02:15,7.038
2021-10-12 00:00:00 - 2021-10-12 07:00:19,7.005
2021-10-13 00:00:00 - 2021-10-13 07:10:23,7.173
2021-10-13 07:10:56 - 2021-10-13 07:15:41,0.079
2021-10-14 00:00:00 - 2021-10-14 07:01:03,7.018
2021-10-15 00:00:00 - 2021-10-15 06:41:15,6.688
2021-10-15 06:41:24 - 2021-10-15 06:41:47,0.006
2021-10-15 06:42:03 - 2021-10-15 07:09:35,0.459
2021-10-15 07:13:06 - 2021-10-15 07:14:21,0.021
2021-10-16 00:26:51 - 2021-10-16 07:00:23,6.559
2021-10-16 07:03:43 - 2021-10-16 07:18:50,0.252
2021-10-17 01:06:36 - 2021-10-17 07:00:23,5.896
2021-10-17 07:01:40 - 2021-10-17 07:36:52,0.587
2021-10-18 00:00:00 - 2021-10-18 07:11:41,7.195
2021-10-19 00:00:00 - 2021-10-19 07:11:54,7.198
2021-10-20 00:30:21 - 2021-10-20 07:40:06,7.163
2021-10-21 00:00:00 - 2021-10-21 07:19:13,7.320
2021-10-22 00:00:00 - 2021-10-22 07:09:38,7.161
2021-10-23 02:41:53 - 2021-10-23 07:00:00,4.302
2021-10-24 00:37:38 - 2021-10-24 07:00:02,6.374
2021-10-25 00:12:57 - 2021-10-25 07:01:13,6.805
2021-10-26 00:00:00 - 2021-10-26 07:02:21,7.039
2021-10-26 07:08:19 - 2021-10-26 07:10:16,0.032
2021-10-27 00:00:00 - 2021-10-27 06:31:40,6.528
2021-10-27 06:32:48 - 2021-10-27 06:41:23,0.143
2021-10-28 01:28:51 - 2021-10-28 07:10:29,5.694
2021-10-28 07:23:13 - 2021-10-28 07:28:10,0.083
2021-10-29 00:12:12 - 2021-10-29 07:09:37,6.957
2021-10-30 00:22:09 - 2021-10-30 07:03:22,6.687
2021-10-31 00:49:02 - 2021-10-31 04:59:42,4.178
2021-10-31 05:10:25 - 2021-10-31 06:21:44,1.189
2021-11-01 00:00:00 - 2021-11-01 06:43:53,6.731
2021-11-01 06:46:54 - 2021-11-01 06:49:48,0.049
2021-11-02 01:13:03 - 2021-11-02 06:08:46,4.929
2021-11-02 06:09:01 - 2021-11-02 06:29:46,0.346
2021-11-03 02:44:10 - 2021-11-03 07:28:41,4.742
2021-11-04 03:44:33 - 2021-11-04 07:21:55,3.623
2021-11-04 07:24:25 - 2021-11-04 07:26:30,0.035
2021-11-05 00:23:59 - 2021-11-05 07:00:30,6.609
2021-11-06 01:11:58 - 2021-11-06 07:00:02,5.801
2021-11-07 00:11:38 - 2021-11-07 07:18:49,8.120
2021-11-08 00:00:00 - 2021-11-08 06:30:21,6.506
2021-11-09 00:00:00 - 2021-11-09 07:18:49,7.314
2021-11-10 00:23:53 - 2021-11-10 07:00:38,6.612
2021-11-10 07:00:49 - 2021-11-10 07:00:52,0.001
2021-11-10 07:01:37 - 2021-11-10 07:18:47,0.286
2021-11-11 00:00:00 - 2021-11-11 07:11:42,7.195
2021-11-12 00:00:00 - 2021-11-12 04:21:51,4.364
2021-11-12 04:22:39 - 2021-11-12 07:05:13,2.709
2021-11-12 07:14:05 - 2021-11-12 07:14:10,0.001
2021-11-12 07:18:42 - 2021-11-12 07:18:45,0.001
2021-11-13 00:22:30 - 2021-11-13 06:01:19,5.647
2021-11-13 06:05:50 - 2021-11-13 07:20:42,1.248
2021-11-14 00:02:38 - 2021-11-14 07:01:02,6.973
2021-11-15 00:00:00 - 2021-11-15 06:48:40,6.811
2021-11-15 06:50:17 - 2021-11-15 07:01:48,0.192
2021-11-16 00:00:00 - 2021-11-16 05:58:56,5.982
2021-11-16 05:59:04 - 2021-11-16 05:59:19,0.004
2021-11-17 00:00:00 - 2021-11-17 07:01:12,7.020
2021-11-18 00:00:00 - 2021-11-18 04:08:57,4.149
2021-11-18 04:09:20 - 2021-11-18 04:09:26,0.002
2021-11-18 04:09:32 - 2021-11-18 04:09:53,0.006
2021-11-18 04:20:48 - 2021-11-18 07:00:26,2.661
2021-11-19 00:00:00 - 2021-11-19 07:00:20,7.006
2021-11-20 02:08:53 - 2021-11-20 07:00:02,4.853
2021-11-21 00:00:00 - 2021-11-21 06:59:37,6.994
