Date,Time in bed(hr)
2021-01-31 07:35:44 - 2021-01-31 08:38:50,1.052
2021-02-01 04:47:30 - 2021-02-01 06:56:47,2.155
2021-02-01 06:56:51 - 2021-02-01 06:57:05,0.004
2021-02-01 06:57:06 - 2021-02-01 07:31:59,0.582
2021-02-01 23:30:00 - 2021-02-02 07:30:42,8.012
2021-02-03 02:12:39 - 2021-02-03 05:01:29,2.814
2021-02-03 05:01:34 - 2021-02-03 07:32:37,2.518
2021-02-04 00:47:15 - 2021-02-04 08:20:03,7.547
2021-02-05 00:50:21 - 2021-02-05 07:31:11,6.681
2021-02-05 07:32:07 - 2021-02-05 07:33:23,0.021
2021-02-06 00:36:49 - 2021-02-06 07:34:02,6.954
2021-02-07 03:00:20 - 2021-02-07 07:30:02,4.495
2021-02-07 23:30:00 - 2021-02-08 08:30:16,9.005
2021-02-08 23:30:00 - 2021-02-09 03:28:53,3.981
2021-02-09 03:28:57 - 2021-02-09 03:29:08,0.003
2021-02-10 00:28:43 - 2021-02-10 07:06:53,6.636
2021-02-10 07:07:28 - 2021-02-10 07:07:36,0.002
2021-02-10 07:11:01 - 2021-02-10 07:11:05,0.001
2021-02-10 07:22:14 - 2021-02-10 07:22:21,0.002
2021-02-11 00:47:50 - 2021-02-11 07:32:30,6.744
2021-02-11 07:32:32 - 2021-02-11 07:32:34,0.001
2021-02-11 07:33:12 - 2021-02-11 07:40:54,0.128
2021-02-11 07:41:02 - 2021-02-11 07:41:04,0.001
2021-02-12 01:03:41 - 2021-02-12 07:43:30,6.664
2021-02-13 03:18:09 - 2021-02-13 07:42:16,4.402
2021-02-14 03:03:54 - 2021-02-14 07:32:12,4.472
2021-02-15 02:51:55 - 2021-02-15 07:30:52,4.649
2021-02-16 00:18:15 - 2021-02-16 07:39:42,7.357
2021-02-17 00:31:42 - 2021-02-17 07:41:43,7.167
2021-02-18 04:25:16 - 2021-02-18 07:31:19,3.101
2021-02-18 07:31:19 - 2021-02-18 07:52:48,0.358
2021-02-18 07:52:51 - 2021-02-18 07:52:58,0.002
2021-02-18 07:54:00 - 2021-02-18 07:56:55,0.049
