Date,Headphone sound levels(dBASPL)
2020-11-23 23:30:16 - 2020-11-23 23:30:19,68.574
2020-11-23 23:30:19 - 2020-11-23 23:30:40,69.191
2020-11-23 23:30:40 - 2020-11-23 23:37:35,68.935
2020-11-23 23:37:56 - 2020-11-23 23:39:30,67.355
2020-11-23 23:39:33 - 2020-11-24 00:02:41,56.228
2020-11-24 00:02:41 - 2020-11-24 00:16:32,54.927
2020-11-24 00:17:22 - 2020-11-24 00:22:09,68.292
2020-11-24 00:22:27 - 2020-11-24 00:23:19,69.748
2020-11-24 00:23:26 - 2020-11-24 00:25:09,70.473
2020-11-24 00:25:18 - 2020-11-24 00:27:16,55.817
2020-11-24 00:28:11 - 2020-11-24 00:52:34,53.808
2020-11-24 00:52:34 - 2020-11-24 01:22:31,55.412
2020-11-24 01:22:31 - 2020-11-24 01:52:28,55.026
2020-11-24 01:52:28 - 2020-11-24 02:22:24,57.020
2020-11-24 02:22:24 - 2020-11-24 02:22:48,42.281
2020-11-24 09:35:31 - 2020-11-24 09:38:33,54.032
2020-11-24 09:38:33 - 2020-11-24 09:40:03,69.016
2020-11-24 09:40:19 - 2020-11-24 09:59:22,53.877
2020-11-24 09:59:22 - 2020-11-24 10:00:40,54.979
2020-11-24 10:00:40 - 2020-11-24 10:00:43,56.004
2020-11-24 10:00:54 - 2020-11-24 10:04:09,54.625
2020-11-24 10:04:12 - 2020-11-24 10:05:40,68.000
2020-11-24 10:05:40 - 2020-11-24 10:06:13,68.047
2020-11-24 10:06:13 - 2020-11-24 10:18:03,70.141
2020-11-24 10:18:03 - 2020-11-24 10:18:12,70.933
2020-11-24 10:18:12 - 2020-11-24 10:18:36,69.940
2020-11-25 00:35:41 - 2020-11-25 01:00:07,57.506
2020-11-25 08:23:23 - 2020-11-25 08:23:32,64.599
2020-11-25 08:24:08 - 2020-11-25 08:29:58,63.139
2020-11-25 08:30:02 - 2020-11-25 08:31:26,57.904
2020-11-25 08:31:42 - 2020-11-25 08:58:54,51.601
2020-11-25 08:58:54 - 2020-11-25 09:04:13,54.777
2020-11-25 09:04:13 - 2020-11-25 09:04:16,49.150
2020-11-25 09:04:46 - 2020-11-25 09:04:49,49.388
2020-11-25 09:04:50 - 2020-11-25 09:07:27,56.083
2020-11-25 09:08:39 - 2020-11-25 09:11:41,47.209
2020-11-25 09:13:55 - 2020-11-25 09:33:06,58.261
2020-11-25 09:33:15 - 2020-11-25 09:43:50,50.289
2020-11-25 09:47:34 - 2020-11-25 09:48:25,72.404
2020-11-25 09:49:13 - 2020-11-25 09:49:16,66.178
2020-11-25 09:49:16 - 2020-11-25 09:58:48,51.689
2020-11-25 09:58:48 - 2020-11-25 09:59:15,55.140
2020-11-25 09:59:15 - 2020-11-25 10:06:12,51.655
2020-11-25 10:06:12 - 2020-11-25 10:06:39,44.911
2020-11-25 10:06:39 - 2020-11-25 10:06:45,70.397
2020-11-25 10:06:45 - 2020-11-25 10:07:30,43.835
2020-11-25 10:07:30 - 2020-11-25 10:08:19,51.416
2020-11-25 10:08:19 - 2020-11-25 10:13:54,53.024
2020-11-25 10:13:54 - 2020-11-25 10:16:39,56.615
2020-11-25 10:16:39 - 2020-11-25 10:25:27,60.020
2020-11-25 10:25:27 - 2020-11-25 10:26:43,55.242
2020-11-25 10:26:43 - 2020-11-25 10:26:46,64.756
2020-11-25 10:26:46 - 2020-11-25 10:29:58,57.205
2020-11-25 10:30:03 - 2020-11-25 10:35:58,51.920
2020-11-25 12:48:03 - 2020-11-25 12:48:06,0.000
2020-11-25 12:50:11 - 2020-11-25 12:50:33,40.679
2020-11-25 12:51:39 - 2020-11-25 12:51:42,20.543
2020-11-25 12:51:46 - 2020-11-25 12:51:49,68.562
2020-11-25 12:51:52 - 2020-11-25 12:54:39,38.157
2020-11-25 12:58:30 - 2020-11-25 12:58:33,0.000
2020-11-25 13:00:24 - 2020-11-25 13:00:27,0.000
2020-11-25 13:01:27 - 2020-11-25 13:01:30,55.861
2020-11-25 13:05:16 - 2020-11-25 13:05:19,61.272
2020-11-25 13:11:08 - 2020-11-25 13:26:03,70.676
2020-11-25 13:26:57 - 2020-11-25 13:54:57,56.989
2020-11-25 13:55:03 - 2020-11-25 14:14:49,59.492
2020-11-25 18:44:17 - 2020-11-25 18:46:23,56.726
2020-11-25 18:46:23 - 2020-11-25 18:46:26,60.288
2020-11-25 18:46:44 - 2020-11-25 18:47:47,63.745
2020-11-25 18:49:24 - 2020-11-25 18:51:40,74.330
2020-11-25 21:05:17 - 2020-11-25 21:25:33,69.529
2020-11-25 21:25:33 - 2020-11-25 21:25:39,63.961
2020-11-25 21:25:39 - 2020-11-25 21:25:45,60.466
2020-11-25 21:25:45 - 2020-11-25 21:26:12,67.359
