Date,Headphone sound levels(dBASPL)
2021-04-04 19:25:41 - 2021-04-04 19:26:05,63.233
2021-04-04 19:32:15 - 2021-04-04 19:36:12,75.030
2021-04-04 19:37:51 - 2021-04-04 19:39:08,69.697
2021-04-04 19:39:57 - 2021-04-04 19:40:00,58.574
2021-04-04 19:52:53 - 2021-04-04 19:59:06,29.990
2021-04-04 19:59:08 - 2021-04-04 19:59:11,46.071
2021-04-04 20:00:42 - 2021-04-04 20:00:51,59.057
2021-04-04 20:01:37 - 2021-04-04 20:01:41,46.246
2021-04-04 20:14:24 - 2021-04-04 20:15:12,73.638
2021-04-04 20:19:40 - 2021-04-04 20:20:04,60.052
2021-04-04 20:20:21 - 2021-04-04 20:20:24,54.609
2021-04-04 20:21:10 - 2021-04-04 20:24:24,57.755
2021-04-04 23:09:49 - 2021-04-04 23:36:07,61.929
2021-04-05 00:39:10 - 2021-04-05 00:44:53,59.369
2021-04-05 11:29:28 - 2021-04-05 11:43:57,62.660
2021-04-05 11:43:57 - 2021-04-05 11:49:00,62.691
2021-04-05 11:49:00 - 2021-04-05 11:52:40,67.064
2021-04-05 11:52:40 - 2021-04-05 11:53:49,71.007
2021-04-05 11:53:49 - 2021-04-05 11:58:44,66.585
2021-04-05 11:58:44 - 2021-04-05 11:59:26,60.456
2021-04-05 11:59:26 - 2021-04-05 12:00:45,62.275
2021-04-05 12:00:45 - 2021-04-05 12:00:54,66.514
2021-04-05 12:00:54 - 2021-04-05 12:00:57,68.650
2021-04-05 12:00:57 - 2021-04-05 12:01:21,68.897
2021-04-05 12:01:21 - 2021-04-05 12:02:15,67.468
2021-04-05 12:02:15 - 2021-04-05 12:02:30,69.109
2021-04-05 12:02:30 - 2021-04-05 12:05:49,67.640
2021-04-05 12:05:49 - 2021-04-05 12:05:58,59.707
2021-04-05 12:05:58 - 2021-04-05 12:06:01,61.626
2021-04-05 12:06:01 - 2021-04-05 12:14:11,59.716
2021-04-05 12:14:11 - 2021-04-05 12:14:14,73.973
2021-04-05 12:14:14 - 2021-04-05 12:18:51,68.354
2021-04-05 12:29:04 - 2021-04-05 12:29:19,56.363
2021-04-05 12:29:19 - 2021-04-05 12:29:22,55.449
2021-04-05 12:29:22 - 2021-04-05 12:39:58,62.788
2021-04-05 12:40:03 - 2021-04-05 12:40:06,66.625
2021-04-05 12:40:06 - 2021-04-05 12:40:09,65.026
2021-04-05 12:40:09 - 2021-04-05 12:40:48,66.079
2021-04-05 12:40:48 - 2021-04-05 12:42:30,65.853
2021-04-05 12:42:30 - 2021-04-05 12:42:33,64.582
2021-04-05 12:42:33 - 2021-04-05 12:43:15,65.780
2021-04-05 12:43:15 - 2021-04-05 12:44:37,63.814
2021-04-05 12:44:37 - 2021-04-05 12:44:49,62.968
2021-04-05 12:44:58 - 2021-04-05 12:46:01,63.317
2021-04-05 12:46:01 - 2021-04-05 12:48:52,63.750
2021-04-05 12:48:52 - 2021-04-05 12:52:44,63.054
2021-04-05 12:52:44 - 2021-04-05 12:56:53,71.070
2021-04-05 12:56:53 - 2021-04-05 12:57:11,70.296
2021-04-05 12:57:11 - 2021-04-05 13:06:52,68.733
2021-04-05 13:06:52 - 2021-04-05 13:06:58,68.721
2021-04-05 13:06:58 - 2021-04-05 13:08:47,68.068
2021-04-05 15:25:48 - 2021-04-05 15:35:23,57.131
2021-04-05 15:45:13 - 2021-04-05 15:57:14,58.800
2021-04-05 15:57:14 - 2021-04-05 15:57:17,41.916
2021-04-05 15:57:21 - 2021-04-05 15:57:42,63.274
2021-04-05 15:57:52 - 2021-04-05 16:01:21,50.030
2021-04-05 16:01:21 - 2021-04-05 16:16:57,57.537
2021-04-06 08:02:24 - 2021-04-06 08:17:33,56.095
2021-04-06 08:17:33 - 2021-04-06 08:17:36,31.303
2021-04-06 08:17:47 - 2021-04-06 08:26:29,57.624
2021-04-06 08:26:35 - 2021-04-06 08:27:48,53.514
2021-04-06 08:27:50 - 2021-04-06 08:28:56,45.787
2021-04-06 08:29:01 - 2021-04-06 08:29:09,51.928
2021-04-06 08:29:09 - 2021-04-06 08:29:24,54.055
2021-04-06 08:29:29 - 2021-04-06 08:29:52,52.937
2021-04-06 08:29:52 - 2021-04-06 08:33:41,53.002
2021-04-06 08:33:49 - 2021-04-06 08:37:24,58.355
2021-04-06 08:37:42 - 2021-04-06 08:39:05,46.588
2021-04-06 08:39:10 - 2021-04-06 08:39:43,46.877
2021-04-06 08:44:10 - 2021-04-06 08:44:55,55.891
2021-04-06 08:44:55 - 2021-04-06 08:44:58,58.512
2021-04-06 08:45:27 - 2021-04-06 08:46:58,63.479
2021-04-06 08:46:58 - 2021-04-06 08:48:22,56.332
2021-04-06 13:42:58 - 2021-04-06 13:51:33,65.436
2021-04-06 15:06:49 - 2021-04-06 15:13:32,68.677
2021-04-06 15:13:34 - 2021-04-06 15:14:34,71.278
2021-04-06 15:14:34 - 2021-04-06 15:16:07,67.785
2021-04-06 15:16:07 - 2021-04-06 15:24:15,57.303
2021-04-06 15:24:15 - 2021-04-06 15:24:18,47.066
2021-04-06 15:24:30 - 2021-04-06 15:26:24,53.474
2021-04-06 15:26:59 - 2021-04-06 15:56:58,62.359
2021-04-06 15:56:58 - 2021-04-06 15:59:38,57.017
2021-04-06 16:08:41 - 2021-04-06 16:08:59,72.221
2021-04-06 16:12:58 - 2021-04-06 16:14:17,66.060
2021-04-06 16:15:34 - 2021-04-06 16:17:09,54.061
2021-04-06 17:17:46 - 2021-04-06 17:19:23,68.254
2021-04-06 17:19:23 - 2021-04-06 17:22:02,70.782
2021-04-06 17:22:02 - 2021-04-06 17:23:35,69.574
2021-04-06 17:23:35 - 2021-04-06 17:25:03,69.302
2021-04-06 17:25:03 - 2021-04-06 17:25:42,69.177
2021-04-06 17:25:42 - 2021-04-06 17:25:54,68.597
2021-04-06 17:25:54 - 2021-04-06 17:26:45,67.437
2021-04-06 17:26:45 - 2021-04-06 17:27:00,57.516
2021-04-06 17:27:00 - 2021-04-06 17:28:00,63.143
2021-04-06 17:28:00 - 2021-04-06 17:28:03,66.930
2021-04-06 17:28:04 - 2021-04-06 17:28:07,65.379
2021-04-06 21:14:52 - 2021-04-06 21:15:13,56.087
2021-04-06 21:15:14 - 2021-04-06 21:15:25,56.810
2021-04-06 21:15:26 - 2021-04-06 21:15:32,56.591
2021-04-06 21:15:32 - 2021-04-06 21:15:38,56.920
2021-04-06 21:15:38 - 2021-04-06 21:15:41,54.986
2021-04-06 21:15:41 - 2021-04-06 21:16:11,56.394
2021-04-06 21:16:11 - 2021-04-06 21:16:14,58.551
2021-04-06 21:16:14 - 2021-04-06 21:16:26,57.508
2021-04-06 21:16:26 - 2021-04-06 21:22:54,56.427
2021-04-06 21:22:54 - 2021-04-06 21:22:57,56.466
2021-04-06 21:22:57 - 2021-04-06 21:23:03,54.634
2021-04-06 21:23:03 - 2021-04-06 21:23:18,55.220
2021-04-06 21:23:18 - 2021-04-06 21:24:03,57.954
2021-04-06 21:24:03 - 2021-04-06 21:24:09,56.862
2021-04-06 21:24:09 - 2021-04-06 21:24:15,56.960
2021-04-06 21:24:15 - 2021-04-06 21:24:18,53.779
2021-04-06 21:24:18 - 2021-04-06 21:24:42,54.549
2021-04-06 21:24:42 - 2021-04-06 21:24:48,53.403
2021-04-06 21:24:48 - 2021-04-06 21:24:51,55.181
2021-04-06 21:24:51 - 2021-04-06 21:25:06,53.160
2021-04-06 21:25:06 - 2021-04-06 21:25:52,0.000
2021-04-06 21:25:52 - 2021-04-06 21:33:50,55.985
2021-04-06 21:33:50 - 2021-04-06 21:33:56,53.294
2021-04-06 21:33:56 - 2021-04-06 21:33:59,54.810
2021-04-06 21:33:59 - 2021-04-06 21:34:47,54.670
2021-04-06 21:34:47 - 2021-04-06 21:34:50,55.186
2021-04-06 21:34:50 - 2021-04-06 21:34:53,56.131
2021-04-06 21:37:12 - 2021-04-06 21:37:15,54.307
2021-04-06 21:37:15 - 2021-04-06 21:37:21,54.860
2021-04-06 21:37:21 - 2021-04-06 21:37:24,52.289
2021-04-06 21:37:24 - 2021-04-06 21:37:27,55.820
2021-04-06 21:37:27 - 2021-04-06 21:38:12,54.777
2021-04-06 21:38:12 - 2021-04-06 21:38:18,54.174
2021-04-06 21:38:18 - 2021-04-06 21:39:39,54.707
2021-04-06 21:39:39 - 2021-04-06 21:39:45,54.331
2021-04-06 21:39:45 - 2021-04-06 21:39:48,55.696
2021-04-06 21:39:48 - 2021-04-06 21:39:54,54.393
2021-04-06 21:39:54 - 2021-04-06 21:40:00,54.172
2021-04-06 21:40:00 - 2021-04-06 21:40:12,58.392
2021-04-06 21:40:12 - 2021-04-06 21:40:15,57.888
2021-04-06 21:40:15 - 2021-04-06 21:40:24,56.059
2021-04-06 21:40:24 - 2021-04-06 21:40:27,52.073
2021-04-06 21:40:27 - 2021-04-06 21:40:30,55.168
2021-04-06 21:40:30 - 2021-04-06 21:40:39,55.697
2021-04-06 21:40:39 - 2021-04-06 21:40:42,54.604
2021-04-06 21:40:42 - 2021-04-06 21:41:16,54.056
2021-04-06 21:41:15 - 2021-04-06 21:41:25,54.680
2021-04-06 21:41:25 - 2021-04-06 21:42:01,58.843
2021-04-06 21:42:01 - 2021-04-06 21:42:04,55.570
2021-04-06 21:42:04 - 2021-04-06 21:42:07,53.905
2021-04-06 21:42:07 - 2021-04-06 21:42:10,54.718
2021-04-06 21:42:10 - 2021-04-06 21:42:25,54.381
2021-04-06 21:42:25 - 2021-04-06 21:42:46,54.661
2021-04-06 21:42:46 - 2021-04-06 21:43:01,54.565
2021-04-06 21:43:01 - 2021-04-06 21:43:13,53.877
2021-04-06 21:49:56 - 2021-04-06 21:50:05,54.948
2021-04-06 21:50:05 - 2021-04-06 21:50:14,53.328
2021-04-06 21:50:14 - 2021-04-06 21:50:17,50.552
2021-04-06 21:50:17 - 2021-04-06 21:50:20,52.272
2021-04-06 21:52:12 - 2021-04-06 21:52:27,47.042
2021-04-06 21:52:27 - 2021-04-06 21:53:54,56.204
2021-04-06 21:53:54 - 2021-04-06 21:53:57,59.954
2021-04-06 21:53:57 - 2021-04-06 21:55:12,58.473
2021-04-06 21:55:12 - 2021-04-06 21:55:39,56.575
2021-04-06 21:55:39 - 2021-04-06 21:56:18,60.222
2021-04-06 21:56:18 - 2021-04-06 21:56:24,56.121
2021-04-06 21:56:24 - 2021-04-06 21:56:27,55.891
2021-04-06 21:56:27 - 2021-04-06 21:56:30,55.232
2021-04-06 21:56:30 - 2021-04-06 21:56:33,53.454
2021-04-06 21:56:33 - 2021-04-06 22:11:12,56.040
2021-04-06 22:11:12 - 2021-04-06 22:11:15,53.463
2021-04-06 22:11:15 - 2021-04-06 22:11:33,57.168
2021-04-06 22:11:33 - 2021-04-06 22:11:51,55.292
2021-04-06 22:11:51 - 2021-04-06 22:11:54,54.851
2021-04-06 22:11:54 - 2021-04-06 22:11:57,53.083
2021-04-06 22:11:58 - 2021-04-06 22:15:22,55.365
2021-04-06 22:15:22 - 2021-04-06 22:15:25,51.322
2021-04-06 22:15:25 - 2021-04-06 22:15:28,50.358
2021-04-06 22:15:39 - 2021-04-06 22:16:00,55.543
2021-04-06 22:16:00 - 2021-04-06 22:16:18,54.393
2021-04-06 22:16:18 - 2021-04-06 22:16:21,53.740
2021-04-06 22:16:21 - 2021-04-06 22:16:30,53.818
2021-04-06 22:16:30 - 2021-04-06 22:16:48,56.442
2021-04-06 22:16:48 - 2021-04-06 22:17:12,54.782
2021-04-06 22:17:12 - 2021-04-06 22:17:24,53.594
2021-04-06 22:17:29 - 2021-04-06 22:17:32,53.039
2021-04-06 22:17:37 - 2021-04-06 22:17:40,54.200
2021-04-06 22:27:43 - 2021-04-06 22:49:27,53.740
2021-04-07 08:46:40 - 2021-04-07 08:53:05,56.487
2021-04-07 08:53:05 - 2021-04-07 08:53:26,62.582
2021-04-07 08:53:26 - 2021-04-07 08:54:08,55.596
2021-04-07 08:54:08 - 2021-04-07 08:54:11,58.096
2021-04-07 08:54:13 - 2021-04-07 09:04:42,60.309
2021-04-07 09:04:42 - 2021-04-07 09:04:48,64.581
2021-04-07 09:04:48 - 2021-04-07 09:06:12,59.536
2021-04-07 09:07:25 - 2021-04-07 09:18:09,58.990
2021-04-07 09:18:09 - 2021-04-07 09:18:54,60.967
2021-04-07 09:18:54 - 2021-04-07 09:20:33,60.098
2021-04-07 09:20:33 - 2021-04-07 09:23:58,59.197
2021-04-07 09:23:58 - 2021-04-07 09:24:01,59.565
2021-04-07 09:24:01 - 2021-04-07 09:39:55,60.203
2021-04-07 09:39:55 - 2021-04-07 09:40:10,58.774
2021-04-07 09:49:57 - 2021-04-07 09:50:00,60.019
2021-04-07 09:50:03 - 2021-04-07 10:00:44,60.193
2021-04-07 10:00:44 - 2021-04-07 10:00:53,38.197
2021-04-07 10:00:53 - 2021-04-07 10:00:56,0.000
2021-04-07 10:00:56 - 2021-04-07 10:03:20,58.408
2021-04-07 10:03:20 - 2021-04-07 10:03:32,59.261
2021-04-07 10:03:32 - 2021-04-07 10:03:35,59.929
2021-04-07 10:03:35 - 2021-04-07 10:03:44,58.206
2021-04-07 10:03:44 - 2021-04-07 10:10:25,59.656
2021-04-07 10:10:24 - 2021-04-07 10:14:34,59.628
2021-04-07 10:14:34 - 2021-04-07 10:14:46,59.371
2021-04-07 10:14:46 - 2021-04-07 10:16:50,59.853
2021-04-07 10:16:50 - 2021-04-07 10:16:53,58.088
2021-04-07 10:17:04 - 2021-04-07 10:17:10,57.668
2021-04-07 10:18:23 - 2021-04-07 10:27:31,59.980
2021-04-07 10:27:31 - 2021-04-07 10:27:46,58.427
2021-04-07 10:36:21 - 2021-04-07 10:36:36,62.022
2021-04-07 10:36:36 - 2021-04-07 10:38:18,61.147
2021-04-07 10:38:18 - 2021-04-07 10:38:21,57.012
2021-04-07 10:50:02 - 2021-04-07 11:08:39,60.373
2021-04-07 11:10:01 - 2021-04-07 11:11:02,59.203
2021-04-07 11:11:22 - 2021-04-07 11:14:35,59.003
2021-04-07 11:14:35 - 2021-04-07 11:15:11,60.192
2021-04-07 11:15:11 - 2021-04-07 11:16:56,61.170
2021-04-07 11:16:56 - 2021-04-07 11:17:11,64.577
2021-04-07 11:17:11 - 2021-04-07 11:21:24,59.126
2021-04-07 11:21:24 - 2021-04-07 11:21:30,58.137
2021-04-07 11:21:30 - 2021-04-07 11:37:52,58.054
2021-04-07 11:37:52 - 2021-04-07 11:37:58,55.707
2021-04-07 11:37:58 - 2021-04-07 11:40:05,57.141
2021-04-07 11:52:13 - 2021-04-07 11:52:16,65.326
2021-04-07 14:26:15 - 2021-04-07 14:29:03,0.000
2021-04-07 14:30:31 - 2021-04-07 14:32:54,57.320
2021-04-07 14:34:10 - 2021-04-07 14:34:13,38.253
2021-04-07 14:34:23 - 2021-04-07 14:34:54,63.219
2021-04-07 14:37:53 - 2021-04-07 14:44:19,53.212
2021-04-07 14:44:32 - 2021-04-07 14:48:21,54.518
2021-04-07 14:48:21 - 2021-04-07 14:49:51,54.975
2021-04-07 14:49:51 - 2021-04-07 14:53:04,54.563
2021-04-07 14:53:04 - 2021-04-07 14:54:10,55.311
2021-04-07 14:54:10 - 2021-04-07 14:54:28,54.225
2021-04-07 14:54:28 - 2021-04-07 14:54:37,53.017
2021-04-07 14:54:37 - 2021-04-07 14:54:49,58.204
2021-04-07 15:00:03 - 2021-04-07 15:09:00,53.452
2021-04-07 15:09:00 - 2021-04-07 15:09:03,49.515
2021-04-07 15:09:04 - 2021-04-07 15:14:33,53.434
2021-04-07 15:14:33 - 2021-04-07 15:14:42,55.251
2021-04-07 15:14:42 - 2021-04-07 15:20:13,51.333
2021-04-07 17:33:08 - 2021-04-07 17:33:11,59.075
2021-04-07 17:33:29 - 2021-04-07 17:45:11,66.698
2021-04-07 17:45:11 - 2021-04-07 17:45:41,61.806
2021-04-07 17:45:41 - 2021-04-07 17:47:08,56.420
2021-04-07 17:47:08 - 2021-04-07 17:47:27,53.676
2021-04-07 17:47:26 - 2021-04-07 17:48:18,60.423
2021-04-07 17:48:18 - 2021-04-07 17:48:33,66.817
2021-04-07 17:48:33 - 2021-04-07 17:56:31,65.982
2021-04-07 17:56:31 - 2021-04-07 17:56:46,50.675
2021-04-07 17:56:46 - 2021-04-07 17:58:17,55.000
2021-04-07 17:58:29 - 2021-04-07 17:59:50,62.097
2021-04-07 18:00:40 - 2021-04-07 18:04:36,57.126
2021-04-07 18:04:40 - 2021-04-07 18:04:58,57.387
2021-04-07 18:05:21 - 2021-04-07 18:08:57,54.457
2021-04-07 18:09:12 - 2021-04-07 18:09:15,0.000
2021-04-07 18:09:20 - 2021-04-07 18:11:36,62.993
2021-04-07 18:11:36 - 2021-04-07 18:12:09,66.472
2021-04-07 18:12:10 - 2021-04-07 18:12:16,67.630
2021-04-07 18:12:19 - 2021-04-07 18:13:47,66.447
2021-04-07 18:13:47 - 2021-04-07 18:14:23,63.993
2021-04-07 18:14:23 - 2021-04-07 18:15:23,68.329
2021-04-07 18:15:23 - 2021-04-07 18:15:29,69.677
2021-04-07 18:15:29 - 2021-04-07 18:18:00,71.661
2021-04-07 18:18:00 - 2021-04-07 18:18:03,70.149
2021-04-07 18:18:03 - 2021-04-07 18:20:15,68.463
2021-04-07 18:20:35 - 2021-04-07 18:20:38,66.444
2021-04-07 21:13:46 - 2021-04-07 21:17:53,67.920
2021-04-07 21:17:53 - 2021-04-07 21:17:56,63.145
2021-04-07 21:20:36 - 2021-04-07 21:20:42,64.987
2021-04-07 21:20:42 - 2021-04-07 21:21:09,67.642
2021-04-07 21:21:09 - 2021-04-07 21:21:12,67.627
2021-04-07 21:21:24 - 2021-04-07 21:45:34,58.640
2021-04-07 21:45:34 - 2021-04-07 21:45:43,59.628
2021-04-07 21:45:43 - 2021-04-07 21:46:05,56.201
2021-04-07 21:46:05 - 2021-04-07 21:50:56,60.170
2021-04-07 21:50:56 - 2021-04-07 21:51:48,52.866
2021-04-07 21:51:48 - 2021-04-07 21:53:39,58.736
2021-04-07 21:53:39 - 2021-04-07 21:53:45,62.899
2021-04-08 11:09:41 - 2021-04-08 11:12:42,76.416
2021-04-08 11:12:42 - 2021-04-08 11:12:45,78.380
2021-04-08 11:12:45 - 2021-04-08 11:14:03,81.083
2021-04-08 11:14:03 - 2021-04-08 11:14:43,76.478
2021-04-08 11:14:59 - 2021-04-08 11:20:40,75.804
2021-04-08 11:20:40 - 2021-04-08 11:22:53,77.853
2021-04-08 11:22:53 - 2021-04-08 11:22:56,78.771
2021-04-08 11:22:56 - 2021-04-08 11:29:00,76.259
2021-04-08 11:29:00 - 2021-04-08 11:29:06,77.603
2021-04-08 11:29:06 - 2021-04-08 11:34:16,76.196
2021-04-08 11:34:16 - 2021-04-08 11:37:53,75.190
2021-04-08 11:37:53 - 2021-04-08 11:37:56,75.844
2021-04-08 11:37:56 - 2021-04-08 11:45:30,70.557
2021-04-08 11:45:30 - 2021-04-08 11:45:45,68.662
2021-04-08 11:45:45 - 2021-04-08 11:46:30,70.167
2021-04-08 11:46:30 - 2021-04-08 11:46:36,70.681
2021-04-08 11:46:36 - 2021-04-08 11:49:16,69.431
2021-04-08 11:49:16 - 2021-04-08 11:49:28,70.518
2021-04-08 11:49:28 - 2021-04-08 11:50:37,70.937
2021-04-08 11:50:37 - 2021-04-08 11:53:53,68.909
2021-04-08 11:53:53 - 2021-04-08 11:56:05,69.336
2021-04-08 11:56:05 - 2021-04-08 12:00:21,70.747
2021-04-08 12:00:21 - 2021-04-08 12:11:50,68.170
2021-04-08 12:11:50 - 2021-04-08 12:13:39,71.035
2021-04-08 12:13:39 - 2021-04-08 12:19:58,71.154
2021-04-08 12:20:03 - 2021-04-08 12:25:49,68.907
2021-04-08 15:14:41 - 2021-04-08 15:15:36,77.047
2021-04-08 15:15:39 - 2021-04-08 15:16:48,76.867
2021-04-08 15:16:55 - 2021-04-08 15:20:13,71.079
2021-04-08 15:20:22 - 2021-04-08 15:21:31,72.617
2021-04-08 15:21:33 - 2021-04-08 15:21:36,62.741
2021-04-08 15:21:44 - 2021-04-08 15:22:27,73.303
2021-04-08 18:31:04 - 2021-04-08 18:33:41,63.503
2021-04-08 18:33:41 - 2021-04-08 18:33:56,58.613
2021-04-08 18:33:55 - 2021-04-08 18:35:40,60.064
2021-04-08 18:35:40 - 2021-04-08 18:35:43,62.612
2021-04-08 18:36:00 - 2021-04-08 18:37:33,62.289
2021-04-08 19:16:34 - 2021-04-08 19:20:46,70.018
2021-04-08 19:20:46 - 2021-04-08 19:21:44,69.475
2021-04-08 21:09:17 - 2021-04-08 21:11:51,67.774
2021-04-08 21:11:51 - 2021-04-08 21:12:03,68.961
2021-04-08 21:12:03 - 2021-04-08 21:14:21,67.775
2021-04-08 21:14:21 - 2021-04-08 21:14:54,70.782
2021-04-08 21:14:54 - 2021-04-08 21:20:52,64.787
2021-04-08 21:20:52 - 2021-04-08 21:21:16,65.521
2021-04-08 21:21:16 - 2021-04-08 21:21:28,60.742
2021-04-08 21:21:28 - 2021-04-08 21:22:53,64.334
2021-04-08 21:22:53 - 2021-04-08 21:24:53,61.324
2021-04-09 07:46:33 - 2021-04-09 08:16:30,56.376
2021-04-09 08:16:30 - 2021-04-09 08:17:03,51.603
2021-04-09 08:17:03 - 2021-04-09 08:19:22,52.159
2021-04-09 08:19:22 - 2021-04-09 08:19:25,30.933
2021-04-09 08:29:36 - 2021-04-09 08:29:57,49.059
2021-04-09 08:29:57 - 2021-04-09 08:30:00,22.600
2021-04-09 08:30:04 - 2021-04-09 08:30:19,43.839
2021-04-09 08:30:19 - 2021-04-09 08:30:49,49.624
2021-04-09 08:30:49 - 2021-04-09 08:30:52,42.882
2021-04-09 08:30:58 - 2021-04-09 08:35:47,56.113
2021-04-09 08:36:01 - 2021-04-09 08:36:17,36.419
2021-04-09 08:36:47 - 2021-04-09 08:39:02,47.478
2021-04-09 08:39:07 - 2021-04-09 08:42:14,36.140
2021-04-09 08:42:26 - 2021-04-09 08:52:19,61.780
2021-04-09 08:52:33 - 2021-04-09 08:52:36,49.000
2021-04-09 08:52:44 - 2021-04-09 09:06:29,62.245
2021-04-09 09:06:34 - 2021-04-09 09:07:24,59.724
2021-04-09 09:07:27 - 2021-04-09 09:07:30,31.840
2021-04-09 09:07:33 - 2021-04-09 09:12:52,62.995
2021-04-09 09:15:33 - 2021-04-09 09:16:30,13.262
2021-04-09 09:16:37 - 2021-04-09 09:29:32,64.304
2021-04-09 09:30:45 - 2021-04-09 09:30:48,43.609
2021-04-09 23:59:17 - 2021-04-10 00:17:55,57.707
2021-04-10 00:20:51 - 2021-04-10 00:50:47,65.573
2021-04-10 00:50:47 - 2021-04-10 00:51:47,57.894
2021-04-10 15:38:10 - 2021-04-10 15:57:28,51.005
2021-04-10 15:59:34 - 2021-04-10 16:00:35,49.129
2021-04-10 16:00:35 - 2021-04-10 16:01:02,47.180
2021-04-10 16:01:02 - 2021-04-10 16:01:41,45.115
2021-04-10 16:01:42 - 2021-04-10 16:01:51,46.988
2021-04-10 16:01:51 - 2021-04-10 16:01:54,47.441
2021-04-10 16:01:54 - 2021-04-10 16:03:42,52.737
2021-04-10 16:03:52 - 2021-04-10 16:03:55,13.546
2021-04-10 16:03:55 - 2021-04-10 16:07:40,52.623
2021-04-10 16:07:40 - 2021-04-10 16:08:07,40.522
2021-04-10 16:08:56 - 2021-04-10 16:09:01,47.689
2021-04-10 16:09:03 - 2021-04-10 16:12:46,48.633
2021-04-10 16:12:46 - 2021-04-10 16:15:05,47.856
2021-04-10 16:15:05 - 2021-04-10 16:27:11,50.468
2021-04-10 16:27:11 - 2021-04-10 16:27:17,30.615
2021-04-10 16:31:07 - 2021-04-10 16:31:10,30.476
2021-04-10 16:31:10 - 2021-04-10 16:31:22,46.839
2021-04-10 16:31:22 - 2021-04-10 16:32:01,60.691
2021-04-10 16:32:01 - 2021-04-10 16:32:10,58.230
2021-04-10 16:32:10 - 2021-04-10 16:33:14,52.453
2021-04-10 16:33:14 - 2021-04-10 16:36:14,48.127
2021-04-10 21:11:15 - 2021-04-10 21:12:37,68.049
2021-04-10 21:12:37 - 2021-04-10 21:12:40,68.765
2021-04-10 21:12:40 - 2021-04-10 21:20:29,81.287
2021-04-10 21:20:29 - 2021-04-10 21:20:44,81.437
2021-04-10 21:20:44 - 2021-04-10 21:21:23,72.665
2021-04-10 21:21:23 - 2021-04-10 21:21:35,71.949
2021-04-10 21:21:35 - 2021-04-10 21:22:54,71.681
2021-04-10 21:22:54 - 2021-04-10 21:23:45,73.326
2021-04-10 21:25:44 - 2021-04-10 21:26:08,69.100
2021-04-10 23:14:56 - 2021-04-10 23:19:03,65.609
2021-04-10 23:19:03 - 2021-04-10 23:19:18,54.131
2021-04-10 23:19:18 - 2021-04-10 23:19:21,55.161
2021-04-10 23:19:22 - 2021-04-10 23:19:43,54.211
2021-04-10 23:19:43 - 2021-04-10 23:20:04,55.104
2021-04-10 23:20:04 - 2021-04-10 23:21:52,55.623
2021-04-10 23:21:52 - 2021-04-10 23:22:07,56.514
2021-04-10 23:22:08 - 2021-04-10 23:23:05,54.157
2021-04-10 23:23:05 - 2021-04-10 23:23:32,54.246
2021-04-10 23:23:32 - 2021-04-10 23:25:14,53.746
2021-04-10 23:25:16 - 2021-04-10 23:26:58,55.594
2021-04-10 23:26:58 - 2021-04-10 23:28:37,54.662
2021-04-10 23:28:37 - 2021-04-10 23:29:50,54.809
2021-04-10 23:29:50 - 2021-04-10 23:29:53,53.340
2021-04-11 08:37:26 - 2021-04-11 08:45:46,58.998
2021-04-11 08:50:47 - 2021-04-11 08:50:55,62.999
2021-04-11 08:52:24 - 2021-04-11 08:52:27,53.653
2021-04-11 08:52:27 - 2021-04-11 09:18:29,56.136
2021-04-11 09:18:29 - 2021-04-11 09:18:38,49.729
2021-04-11 09:18:39 - 2021-04-11 09:19:21,65.539
2021-04-11 09:19:23 - 2021-04-11 09:20:26,54.245
2021-04-11 09:20:26 - 2021-04-11 09:20:32,56.772
2021-04-11 09:20:32 - 2021-04-11 09:25:36,59.214
2021-04-11 09:25:36 - 2021-04-11 09:39:59,57.688
2021-04-11 09:39:59 - 2021-04-11 09:40:12,56.952
2021-04-11 09:40:12 - 2021-04-11 09:55:51,59.331
2021-04-11 10:50:37 - 2021-04-11 10:52:37,67.913
2021-04-11 10:52:37 - 2021-04-11 10:54:11,70.619
2021-04-11 10:54:16 - 2021-04-11 10:54:25,71.610
2021-04-11 10:54:25 - 2021-04-11 10:55:43,69.513
2021-04-11 10:55:43 - 2021-04-11 10:56:34,70.177
2021-04-11 10:56:35 - 2021-04-11 10:56:44,66.261
2021-04-11 10:56:44 - 2021-04-11 10:56:59,70.594
2021-04-11 12:51:04 - 2021-04-11 13:05:28,59.200
2021-04-11 21:19:05 - 2021-04-11 21:21:35,55.243
2021-04-11 21:22:08 - 2021-04-11 21:27:30,50.111
2021-04-11 21:27:30 - 2021-04-11 21:27:51,45.931
2021-04-11 21:27:51 - 2021-04-11 21:28:30,46.248
2021-04-11 21:28:30 - 2021-04-11 21:30:08,57.081
2021-04-11 21:30:08 - 2021-04-11 21:30:41,43.210
2021-04-11 21:30:50 - 2021-04-11 21:31:26,56.645
2021-04-11 21:31:26 - 2021-04-11 21:33:24,46.553
2021-04-11 21:33:24 - 2021-04-11 21:33:39,43.387
2021-04-11 21:33:39 - 2021-04-11 21:33:45,44.198
2021-04-11 21:33:48 - 2021-04-11 21:34:26,49.577
2021-04-11 21:34:26 - 2021-04-11 21:34:56,45.587
2021-04-11 21:35:00 - 2021-04-11 21:35:03,37.563
2021-04-11 21:35:05 - 2021-04-11 21:44:23,51.483
2021-04-11 21:44:23 - 2021-04-11 21:48:36,48.480
